id,user,verified,followers,text,hashtag,class
1218255692831903744,WHO,True,11131225.0,"Q: Is there a treatment for a novel #coronavirus infection?
A: There is no specific treatment for disease caused by a novel coronavirus. However, many of the symptoms can be treated and therefore treatment is based on the patient’s clinical condition https://t.co/PKzKaO2yfK https://t.co/QxNg634JdS",coronavirus,nonrumour
1218269428166602753,WHO,True,11129430.0,"Q: What can I do to protect myself from #coronavirus?

A: https://t.co/PKzKaO2yfK https://t.co/eNhlhR0PEq",coronavirus,nonrumour
1219979825848442880,WHO,True,11131225.0,"@DrTedros @WHOWPRO @WHOSEARO @pahowho @WHOEMRO @WHO_Europe @WHOAFRO Q: Who are the members of an International Health Regulations Emergency Committee?
A: https://t.co/1JuCwPTvoY

#coronavirus https://t.co/8XtygR3lLC",coronavirus,nonrumour
1219981282928668672,WHO,True,11131226.0,"@DrTedros @WHOWPRO @WHOSEARO @pahowho @WHOEMRO @WHO_Europe @WHOAFRO Q: How are the members of an International Health Regulations Emergency Committee chosen?
A: https://t.co/1JuCwPTvoY

#coronavirus https://t.co/1EF2rfrmA3",coronavirus,nonrumour
1219982106757148673,WHO,True,11131226.0,"@DrTedros @WHOWPRO @WHOSEARO @pahowho @WHOEMRO @WHO_Europe @WHOAFRO Q: How are people appointed to the expert advisory panel of the International Health Regulations Emergency Committee?
A: https://t.co/1JuCwPTvoY

#coronavirus https://t.co/EtAoH5iZI8",coronavirus,nonrumour
1221423008809725952,WHOEMRO,True,217293.0,"Q: What can I do to protect myself from #coronavirus?

A: https://t.co/zApEQ1jrHu https://t.co/ssr6rP5TAM",coronavirus,nonrumour
1221459816624939009,MFS001,False,7902.0,"@WTEpaminondas @IsraelMatzav #nCoV2019 
How long does the virus survive on surfaces? 
Answer:
At ambient ATs (around 20°C), coronaviruses can survive for 2 days ...
https://t.co/t3Z1sjgR7e",nCoV2019,nonrumour
1221512742147895298,Precious_Ajunwa,False,2234.0,"What are the symptoms of #coronavirus infection?

According to @WHO, it depends on the virus, but common signs incl. respiratory symptoms, fever, cough, shortness of breath &amp; breathing difficulties.

In more severe cases,it can cause pneumonia, severe acute respiratory syndrome..",coronavirus,nonrumour
1221770315291856898,dustandwipes,False,100.0,"What is a novel coronavirus?

A novel coronavirus (CoV) is a new strain of coronavirus that has not been previously identified in humans.",,nonrumour
1221800661039419398,WHO,True,11131225.0,"Q: Are antibiotics effective in preventing and treating the new #coronavirus (2019-nCoV)?
A: No, antibiotics do not work against viruses, only bacteria.
The 2019-nC0V is a virus and, therefore, antibiotics should  not be used as a means of prevention or treatment. https://t.co/F6qMz0ojoh",coronavirus,nonrumour
1221802362156781568,WHO,True,11131225.0,"@WHOWPRO @WHOSEARO @WHO_Europe @pahowho @WHOEMRO @WHOAFRO Q: Does the new #coronavirus (2019-nC0V) affect older people, or are younger people also susceptible?
A: People of all ages can be infected by the virus.
Older people &amp; those with pre-existing medical conditions appear to be more vulnerable to becoming severely ill with the virus https://t.co/6C5QFuiI13",coronavirus,nonrumour
