id,user,verified,followers,text,retweets,favorites,hashtag,class
1218255692831903744,WHO,True,11151650.0,"Q: Is there a treatment for a novel #coronavirus infection?
A: There is no specific treatment for disease caused by a novel coronavirus. However, many of the symptoms can be treated and therefore treatment is based on the patient’s clinical condition https://t.co/PKzKaO2yfK https://t.co/QxNg634JdS",202.0,265.0,coronavirus,nonrumour
1218269428166602753,WHO,True,11151650.0,"Q: What can I do to protect myself from #coronavirus?

A: https://t.co/PKzKaO2yfK https://t.co/eNhlhR0PEq",2010.0,2058.0,coronavirus,nonrumour
1219979825848442880,WHO,True,11151650.0,"@DrTedros @WHOWPRO @WHOSEARO @pahowho @WHOEMRO @WHO_Europe @WHOAFRO Q: Who are the members of an International Health Regulations Emergency Committee?
A: https://t.co/1JuCwPTvoY

#coronavirus https://t.co/8XtygR3lLC",20.0,43.0,coronavirus,nonrumour
1219981282928668672,WHO,True,11151650.0,"@DrTedros @WHOWPRO @WHOSEARO @pahowho @WHOEMRO @WHO_Europe @WHOAFRO Q: How are the members of an International Health Regulations Emergency Committee chosen?
A: https://t.co/1JuCwPTvoY

#coronavirus https://t.co/1EF2rfrmA3",21.0,49.0,coronavirus,nonrumour
1219982106757148673,WHO,True,11151650.0,"@DrTedros @WHOWPRO @WHOSEARO @pahowho @WHOEMRO @WHO_Europe @WHOAFRO Q: How are people appointed to the expert advisory panel of the International Health Regulations Emergency Committee?
A: https://t.co/1JuCwPTvoY

#coronavirus https://t.co/EtAoH5iZI8",19.0,44.0,coronavirus,nonrumour
1221423008809725952,WHOEMRO,True,217302.0,"Q: What can I do to protect myself from #coronavirus?

A: https://t.co/zApEQ1jrHu https://t.co/ssr6rP5TAM",57.0,65.0,coronavirus,nonrumour
1221459816624939009,MFS001,False,7898.0,"@WTEpaminondas @IsraelMatzav #nCoV2019 
How long does the virus survive on surfaces? 
Answer:
At ambient ATs (around 20°C), coronaviruses can survive for 2 days ...
https://t.co/t3Z1sjgR7e",1.0,0.0,nCoV2019,nonrumour
1221512742147895298,Precious_Ajunwa,False,2237.0,"What are the symptoms of #coronavirus infection?

According to @WHO, it depends on the virus, but common signs incl. respiratory symptoms, fever, cough, shortness of breath &amp; breathing difficulties.

In more severe cases,it can cause pneumonia, severe acute respiratory syndrome..",1.0,1.0,coronavirus,nonrumour
1221770315291856898,dustandwipes,False,100.0,"What is a novel coronavirus?

A novel coronavirus (CoV) is a new strain of coronavirus that has not been previously identified in humans.",0.0,0.0,,nonrumour
1221800661039419398,WHO,True,11151650.0,"Q: Are antibiotics effective in preventing and treating the new #coronavirus (2019-nCoV)?
A: No, antibiotics do not work against viruses, only bacteria.
The 2019-nC0V is a virus and, therefore, antibiotics should  not be used as a means of prevention or treatment. https://t.co/F6qMz0ojoh",4473.0,4738.0,coronavirus,nonrumour
1221802362156781568,WHO,True,11151650.0,"@WHOWPRO @WHOSEARO @WHO_Europe @pahowho @WHOEMRO @WHOAFRO Q: Does the new #coronavirus (2019-nC0V) affect older people, or are younger people also susceptible?
A: People of all ages can be infected by the virus.
Older people &amp; those with pre-existing medical conditions appear to be more vulnerable to becoming severely ill with the virus https://t.co/6C5QFuiI13",834.0,939.0,coronavirus,nonrumour
1221830244895686658,WHOWPRO,True,237566.0,"@WHOPhilippines @WHO_Mongolia @takeshi_kasai @DOHgov @KKMPutrajaya @KoreaCDC @WHOKobe @AMRCRC_JAPAN @MHLWitter @jameschau @minhealthnz @MoHFW_INDIA @minhealthci @sporeMOH @loyingru @SonjaTanevska @DrRasul_WHO @WHO @healthgovau @fijiconsulate @Fiji_MOFA Q: Are antibiotics effective in preventing and treating the new #coronavirus (2019-nCoV)?
A: No, antibiotics do not work against viruses, only bacteria.
The 2019-nC0V is a virus and, therefore, antibiotics should  not be used as a means of prevention or treatment. https://t.co/UAd9CFDHyq",302.0,448.0,coronavirus,nonrumour
1221830244895686658,WHOWPRO,True,237566.0,"@WHOPhilippines @WHO_Mongolia @takeshi_kasai @DOHgov @KKMPutrajaya @KoreaCDC @WHOKobe @AMRCRC_JAPAN @MHLWitter @jameschau @minhealthnz @MoHFW_INDIA @minhealthci @sporeMOH @loyingru @SonjaTanevska @DrRasul_WHO @WHO @healthgovau @fijiconsulate @Fiji_MOFA Q: Are antibiotics effective in preventing and treating the new #coronavirus (2019-nCoV)?
A: No, antibiotics do not work against viruses, only bacteria.
The 2019-nC0V is a virus and, therefore, antibiotics should  not be used as a means of prevention or treatment. https://t.co/UAd9CFDHyq",302.0,448.0,coronavirus,nonrumour
1221843359305818115,WHOWPRO,True,237566.0,"@WHOPhilippines @WHO_Mongolia @takeshi_kasai @DOHgov @KKMPutrajaya @KoreaCDC @WHOKobe @AMRCRC_JAPAN @MHLWitter @jameschau @minhealthnz @MoHFW_INDIA @minhealthci @sporeMOH @loyingru @SonjaTanevska @DrRasul_WHO @WHO @healthgovau @fijiconsulate @Fiji_MOFA @samoagovt @dfat 🇶: Are there any specific medicines to prevent or treat the new #coronavirus (2019-nCoV)?
🇦: To date, there is no specific medicine recommended to prevent or treat the virus.
WHO is helping to accelerate research and development efforts with a range of partners. https://t.co/00NdnphYzQ",253.0,432.0,coronavirus,nonrumour
1221843359305818115,WHOWPRO,True,237566.0,"@WHOPhilippines @WHO_Mongolia @takeshi_kasai @DOHgov @KKMPutrajaya @KoreaCDC @WHOKobe @AMRCRC_JAPAN @MHLWitter @jameschau @minhealthnz @MoHFW_INDIA @minhealthci @sporeMOH @loyingru @SonjaTanevska @DrRasul_WHO @WHO @healthgovau @fijiconsulate @Fiji_MOFA @samoagovt @dfat 🇶: Are there any specific medicines to prevent or treat the new #coronavirus (2019-nCoV)?
🇦: To date, there is no specific medicine recommended to prevent or treat the virus.
WHO is helping to accelerate research and development efforts with a range of partners. https://t.co/00NdnphYzQ",253.0,432.0,coronavirus,nonrumour
1222511369758498819,WHOPhilippines,True,95862.0,"Q: Are there any specific medicines to prevent or treat the new #coronavirus?
A: To date, there is no specific medicine recommended to prevent or treat the virus. However, those infected should receive appropriate care to relieve and treat symptoms. https://t.co/dJT3hy9PWN",64.0,68.0,coronavirus,nonrumour
1222700579786375173,Volunteers4U,False,10053.0,"Q&amp;A with the WHO. 
Q: Are #antibiotics effective in preventing and treating the new #coronavirus?
A: No, antibiotics do not work against viruses, only #bacteria.
The 2019-nC0V is a virus and, therefore, antibiotics should  not be used as a means of #prevention or #treatment. https://t.co/uSyMDWU0i1",0.0,0.0,antibiotics,nonrumour
1222921090575544322,WHO,True,11151650.0,"@DrTedros @WHOWPRO @WHOSEARO @WHO_Europe @pahowho @WHOEMRO @WHOAFRO Q: What are the International Health Regulations?
A: https://t.co/1JuCwPTvoY

#coronavirus https://t.co/GWp349ew6A",50.0,112.0,coronavirus,nonrumour
1222921878207107072,WHO,True,11151617.0,"@DrTedros @WHOWPRO @WHOSEARO @WHO_Europe @pahowho @WHOEMRO @WHOAFRO Q: How does the International Health Regulations Emergency Committee work?
A: https://t.co/1JuCwPTvoY

#coronavirus https://t.co/tC1d2fMQGC",47.0,80.0,coronavirus,nonrumour
1223086478827245568,oommen,False,11840.0,"Novel Coronavirus (2019-nCoV) advice for the public: Myth busters from the @WHO

Can pets at home spread the new coronavirus (2019-nCoV)?

At present, there's no evidence that companion animals/pets such as dogs or cats can be infected with the new virus. #coronavirusindia https://t.co/hmhPgXPvX6",21.0,47.0,coronavirusindia,nonrumour
1223087519501152256,oommen,False,11840.0,"Are antibiotics effective in preventing and treating the new coronavirus?

No, antibiotics do not work against viruses, only bacteria.

The new coronavirus (2019-nCoV) is a virus &amp; therefore, antibiotics should not be used as a means of prevention or treatment.

#coronavirusindia https://t.co/3KtR8P3lQq",16.0,35.0,coronavirusindia,nonrumour
1223467972901011458,sdpixxelss,False,68.0,"3. Q—What Is A Novel Coronavirus ?

A-- A novel coronavirus (2019-nCoV) is a new strain of coronavirus that has not been previously identified in humans

#coronarovirus #coronavirusindia #CoronavirusWho",0.0,0.0,coronarovirus,nonrumour
1223585691445223430,CaribCardiac,False,483.0,"Q: Are antibiotics effective in preventing and treating the new #coronavirus (2019-nCoV)?

A: No, antibiotics do not work against viruses, only bacteria.
The 2019-nC0V is a virus and, therefore, antibiotics should  not be used as a means of prevention or treatment.

Source: @WHO https://t.co/3Y0qUSUmRw",0.0,0.0,coronavirus,nonrumour
1223585704090963974,CaribCardiac,False,483.0,"Q: Are there any specific medicines to prevent or treat the new #coronavirus (2019-nCoV)?

A: To date, there is no specific medicine recommended to prevent or treat the virus.

@WHO is helping to accelerate research and development efforts with a range of partners. https://t.co/fLC55nbqFP",0.0,0.0,coronavirus,nonrumour
1223589653678370816,OzgurTufekci,False,2135.0,"Q: Are antibiotics effective in preventing and treating the new #coronavirus (2019-nCoV)?
A: No, antibiotics do not work against viruses, only bacteria.
The 2019-nC0V is a virus and, therefore, antibiotics should  not be used as a means of prevention or treatment. @WHO https://t.co/2cJBBxKaaZ",0.0,1.0,coronavirus,nonrumour
1223589653678370816,OzgurTufekci,False,2135.0,"Q: Are antibiotics effective in preventing and treating the new #coronavirus (2019-nCoV)?
A: No, antibiotics do not work against viruses, only bacteria.
The 2019-nC0V is a virus and, therefore, antibiotics should  not be used as a means of prevention or treatment. @WHO https://t.co/2cJBBxKaaZ",0.0,1.0,coronavirus,nonrumour
1223589834389848065,OzgurTufekci,False,2135.0,"Q: Does the new #coronavirus (2019-nC0V) affect older people, or are younger people also susceptible?
A: People of all ages can be infected by the virus.
Older people &amp; those with pre-existing medical conditions appear to be more vulnerable to becoming severely ill with the virus https://t.co/oVq4ysz1fo",0.0,0.0,coronavirus,nonrumour
1223590033883631618,OzgurTufekci,False,2135.0,"Q: Can pets at home spread the new #coronavirus (2019-nCoV)?
A: At present, there is no evidence that companion animals/pets such as dogs, cats can be infected with the virus.
However, it is always a good idea to wash your hands with soap and water after contact with pets @WHO https://t.co/9sDqUAkEJk",0.0,0.0,coronavirus,nonrumour
1223590209486573568,OzgurTufekci,False,2135.0,"Q: Are there any specific medicines to prevent or treat the new #coronavirus (2019-nCoV)?
A: To date, there is no specific medicine recommended to prevent or treat the virus.
WHO is helping to accelerate research and development efforts with a range of partners. @WHO https://t.co/5G7sdyWzT3",0.0,0.0,coronavirus,nonrumour
1223590471890538496,OzgurTufekci,False,2135.0,"Q: Do vaccines against pneumonia protect you against #2019nCoV?
A: No. Vaccines against pneumonia do not provide protection against 2019-nCoV.
The virus is new and different. It needs its own vaccine.

#KnowTheFacts @WHO https://t.co/BQFXE6Dw2m",0.0,1.0,2019nCoV,nonrumour
1223590649469063169,OzgurTufekci,False,2135.0,"Q: Is it safe to receive a letter or a package from China?
A: Yes, it is safe. People receiving packages from China are not at risk of contracting #2019nCoV.
From previous analysis, we know coronaviruses do not survive long on objects, such as letters or packages.

#KnowTheFacts https://t.co/0VTjSwXzNG",0.0,1.0,2019nCoV,nonrumour
