id,user,verified,followers,text,hashtag,class
1218255692831903744,WHO,True,11112035.0,"Q: Is there a treatment for a novel #coronavirus infection?
A: There is no specific treatment for disease caused by… https://t.co/LGyOp3UbJQ",coronavirus,nonrumour
1219979825848442880,WHO,True,11112035.0,@DrTedros @WHOWPRO @WHOSEARO @pahowho @WHOEMRO @WHO_Europe @WHOAFRO Q: Who are the members of an International Heal… https://t.co/v874od9nX4,,nonrumour
1221423008809725952,WHOEMRO,True,217276.0,"Q: What can I do to protect myself from #coronavirus?

A: https://t.co/zApEQ1jrHu https://t.co/ssr6rP5TAM",coronavirus,nonrumour
1221459816624939009,MFS001,False,7902.0,"@WTEpaminondas @IsraelMatzav #nCoV2019 
How long does the virus survive on surfaces? 
Answer:
At ambient ATs (aroun… https://t.co/A2r1Eq5udL",nCoV2019,nonrumour
1221512742147895298,Precious_Ajunwa,False,2232.0,"What are the symptoms of #coronavirus infection?

According to @WHO, it depends on the virus, but common signs incl… https://t.co/XCqziNJcUB",coronavirus,nonrumour
1221770315291856898,dustandwipes,False,100.0,"What is a novel coronavirus?

A novel coronavirus (CoV) is a new strain of coronavirus that has not been previously identified in humans.",,nonrumour
1221830244895686658,WHOWPRO,True,237149.0,@WHOPhilippines @WHO_Mongolia @takeshi_kasai @DOHgov @KKMPutrajaya @KoreaCDC @WHOKobe @AMRCRC_JAPAN @MHLWitter… https://t.co/61I2azLySG,,nonrumour
1221830244895686658,WHOWPRO,True,237149.0,@WHOPhilippines @WHO_Mongolia @takeshi_kasai @DOHgov @KKMPutrajaya @KoreaCDC @WHOKobe @AMRCRC_JAPAN @MHLWitter… https://t.co/61I2azLySG,,nonrumour
1222700579786375173,Volunteers4U,False,10061.0,"Q&amp;A with the WHO. 
Q: Are #antibiotics effective in preventing and treating the new #coronavirus?
A: No, antibiotic… https://t.co/KNpPVONHTg",antibiotics,nonrumour
1222921878207107072,WHO,True,11112035.0,@DrTedros @WHOWPRO @WHOSEARO @WHO_Europe @pahowho @WHOEMRO @WHOAFRO Q: How does the International Health Regulation… https://t.co/s4rv1H0My4,,nonrumour
1223467972901011458,sdpixxelss,False,68.0,"3. Q—What Is A Novel Coronavirus ?

A-- A novel coronavirus (2019-nCoV) is a new strain of coronavirus that has not… https://t.co/FJ7P9XFjDZ",,nonrumour
1223585691445223430,CaribCardiac,False,481.0,"Q: Are antibiotics effective in preventing and treating the new #coronavirus (2019-nCoV)?

A: No, antibiotics do no… https://t.co/1XtQojjcJP",coronavirus,nonrumour
1223585704090963974,CaribCardiac,False,481.0,"Q: Are there any specific medicines to prevent or treat the new #coronavirus (2019-nCoV)?

A: To date, there is no… https://t.co/dZd9tdSNiT",coronavirus,nonrumour
1223589834389848065,OzgurTufekci,False,2131.0,"Q: Does the new #coronavirus (2019-nC0V) affect older people, or are younger people also susceptible?
A: People of… https://t.co/kVFKUAGr34",coronavirus,nonrumour
1223590033883631618,OzgurTufekci,False,2131.0,"Q: Can pets at home spread the new #coronavirus (2019-nCoV)?
A: At present, there is no evidence that companion ani… https://t.co/VVb3cHWUX0",coronavirus,nonrumour
1223590471890538496,OzgurTufekci,False,2131.0,"Q: Do vaccines against pneumonia protect you against #2019nCoV?
A: No. Vaccines against pneumonia do not provide pr… https://t.co/XWWjpAvcyS",2019nCoV,nonrumour
